1,United States,16240000000000
3,China,12260000000000
4,India,4716000000000
5,Japan,4576000000000
6,Germany,3167000000000
7,Russia,2486000000000
8,Brazil,2330000000000
9,United Kingdom,2313000000000
10,France,2238000000000
11,Italy,1813000000000
12,Mexico,1798000000000
13,Korea,South,1598000000000
14,Canada,1474000000000
15,Spain,1388000000000
16,Indonesia,1204000000000
17,Turkey,1109000000000
18,Iran,988400000000
19,Australia,961000000000
20,Taiwan,894300000000
21,SaudiArabia,883700000000
22,Poland,792400000000
23,Argentina,735100000000
24,Netherlands,695800000000
25,Thailand,645200000000
26,South Africa,576100000000
27,Pakistan,546700000000
28,Egypt,534100000000
29,Colombia,497300000000
30,Malaysia,494700000000
31,Nigeria,444300000000
