Country,Notes,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
Algeria,1,1029,854,904,565,1053,1277,1335,1235,1452,1752,1911,1826,1881,2092,2101,2206,2802,2925,3094,3946,5172,5281,5671,8652,9326,10402,
Libya,2,"","","","","","","","","",1254,1436,1163,1090,820,452,541,685,691,614,639,1100,"","","",2991,"",
Morocco,3,917,991,1070,1148,1229,1252,1365,1438,1447,1401,1445,1180,859,1470,1475,1819,1938,2030,2134,2408,2945,3055,3161,3343,3402,4064,
Tunisia,,233,234,248,260,290,276,297,343,397,358,366,357,332,336,345,408,445,468,497,491,579,565,571,715,814,948,
Angola,4,"","","",1033,794,1774,"",234,160,457,170,1067,584,404,439,670,818,1365,1970,2032,3164,3311,3501,3647,4145,6095,
Benin,,36.9,28.5,32.8,"","","","","","","","",17.8,14.5,13.1,26,34.5,41.8,44.7,46.8,"",64.7,"","","",78.2,86,
Botswana,,93.7,103,156,172,178,186,170,166,141,161,181,170,185,210,224,301,314,284,273,306,332,330,349,370,333,298,
Burkina Faso,,47,55.2,69.8,57.4,58.6,49.8,25,30.5,30.7,26.6,32.5,34.4,30.2,30.4,35.4,44,57.3,63.8,70.9,95.2,123,110,124,139,146,163,
Burundi,5,34.3,37.9,39.6,42.8,39,36.3,41.9,42.1,50.9,61.9,58.7,50.6,42.3,53.2,44.9,43.4,44.9,49.6,44.7,46.3,43.9,"","","",59,60.8,
Cameroon,§,154,147,181,178,184,168,94.5,114,117,119,137,145,123,124,146,188,221,223,257,297,347,343,354,347,354,393,
Cape Verde,,5.1,"","","",3.6,2.7,3.4,6.2,4.3,4.1,4.5,5,6.8,4.6,4.5,5.8,6.5,6.9,7,7.9,8.6,8.4,8.3,9.7,"",9.4,
Central African Rep.,6,"","","",21.6,23.2,19.1,10.7,13,12.2,"","","","","",10.7,15,15.1,15.4,"",19.1,31.5,36,51.6,"","","",
Chad,7,"","","","","",48.4,27.6,24.8,30.7,20.6,20,26,26.4,30.7,34.3,40.9,50.5,55.5,"",389,611,436,226,242,"","",
Congo,§,"","","","","","","","","","","","","",38.7,50.3,66.6,75.8,79.5,84.3,106,142,"",134,"","","",
"Democratic Republic Congo.",8,"","","","","","","","",89.3,83.8,26.6,149,133,"","",78.8,139,165,205,205,160,122,184,239,308,428,
Côte d’Ivoire,9,128,130,144,144,157,149,84.1,"",103,93.5,"","","","","",213,251,250,267,324,369,420,388,357,407,"",
Djibouti,,31.1,31.1,31.1,31.8,33.6,31.1,30.7,29.6,24.5,26.6,26.7,26.8,26,26,33.3,41.8,37.4,44.8,49.5,34.5,36.3,"","","","","",
Equatorial Guinea,,"","","","","","",2.4,3.4,"","","","","","","","","","","",196,293,372,"","","","",
Eritrea,10,"","","","","",108,79.8,125,152,92.8,263,273,231,167,151,182,"","","","","","","","","","",
Ethiopia,11,615,782,785,529,255,164,149,122,126,225,459,704,618,350,289,279,311,342,346,360,388,340,304,332,367,375,
Gabon,12,"","","","","","","","","","","","",91.3,90,94.7,108,123,114,111,123,"","",125,"",251,254,
Gambia,13,2.2,2.7,3.5,4,3.5,2.6,2.3,2.9,3.9,4.2,4,3.5,3.3,2.5,2.3,2.1,1.9,3,2.8,4.5,"","","","","","",
Ghana,14,22.8,22.6,27.6,41.4,41.6,41,37.8,49.1,44.4,45.5,57.4,59.2,50.8,32.3,36.9,53.2,56.3,64.1,75.7,126,114,113,125,98.8,109,306,
Guinea,15,"","","",71.8,55.7,44,45.9,"","",44.4,45,55.2,46,87.7,98.1,84.1,81.7,"","","","","","","","","",
Guinea-Bissau,16,"",4.4,"","","","",2,2.2,1.9,1.8,2.9,"",9.5,6.2,6.4,7.5,"",12.1,"","","",13.7,17.1,17.5,16.6,"",
Kenya,,251,229,246,192,156,106,117,149,171,176,172,152,166,195,214,246,260,317,376,495,580,578,622,647,840,861,
Lesotho,,19.4,25.9,27.6,25.8,24.1,21.8,25.9,34.4,28.3,28.7,27.8,34.1,30.6,23.4,19.6,27.4,31.4,33.6,35.2,39.8,27.4,47.4,70.7,58.2,53.2,48,
Liberia,,"","","","","","","","","","","","","","","",0.7,3.2,8,3.9,3.5,3.9,7.2,8.5,13.3,14.5,14.3,
Madagascar,17,32.9,30.2,37.9,34.7,23.1,37.8,27.6,27.2,49.4,52.5,50.4,45,47.2,65,57.7,72.5,54.5,54,53.9,81.9,103,71,56.9,72,68.6,55,
Malawi,,20.2,22.8,24.3,23.7,25.2,25.7,17.1,11,20.2,26.4,14.5,14.4,11.7,12.7,14.8,13.1,22,38.2,31.1,33.6,44.5,58.8,"",44.5,53.1,50.7,
Mali,,48,46.1,52.2,"","",44.5,29.9,40.5,39.7,40.3,41,43.9,43.7,44.9,49.4,66.8,77.4,86.5,96,110,143,144,147,161,149,154,
Mauritania,,43,38.9,40.2,39.4,39.4,30.2,29.5,32,37.9,41.6,25.6,32,37.9,51.9,36.3,62.4,72.5,66.7,81.9,"",123,115,"","","",149,
Mauritius,18,4.7,6.3,9.2,10.5,11.4,10.8,11.9,13.4,13,9.8,8.5,9,9.4,9,9.5,10.9,10.9,10.9,10.8,11.6,15.6,15.3,14.9,17.5,16.2,24.1,
Mozambique,19,63.8,79.1,84.6,71.8,59.6,59.4,72.9,33.5,36,42,49.3,56.5,55.4,50.6,53.5,59.8,77.6,62.2,57.4,68.6,83.7,84.3,82.5,"","","",
Namibia,20,"","",198,145,125,70.2,57,68.2,66.5,83.7,78.9,106,92.4,96.8,88,129,167,192,200,228,266,300,397,442,412,396,
Niger,,"","","","","","",17.5,18.4,17.4,17.3,22,23.6,20.1,24.8,20.7,24.6,31.6,32.8,"","",53.6,"",47.2,"",69.8,"",
Nigeria,21,271,171,277,244,174,289,320,639,701,819,1150,492,369,571,897,587,640,674,776,971,1616,1504,1990,2386,2327,2411,
Rwanda,22,36.6,41.6,95.1,105,88.6,89.4,40.5,56.4,73.7,77.3,87.1,80.9,61.3,56.9,51.1,45.2,41.2,45,54.6,55.6,67.7,75.3,74.5,75.4,79.8,82.2,
Senegal,§23,99.5,95.6,115,106,110,120,66.1,80.9,79.8,70.8,75.1,78.3,62.4,68.9,74.4,96.9,108,124,149,193,217,208,200,"","",237,
Seychelles,,12.1,13,14.8,16.6,20.5,12.9,11.9,11.6,10.5,11.4,10.5,11.1,10.3,11.1,11.7,12.2,15.9,14.7,14.4,15.2,11.1,8.7,7.2,8.7,9.2,13.1,
Sierra Leone,24,7.1,9.6,9,16.2,20.2,23.3,26.5,25,18.6,9.5,"","",23.3,29.9,27.1,28.5,23,23.6,28.3,29.5,23.6,26.5,24.5,24,27.5,30.3,
Somalia,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
South Africa,,4263,4182,4364,3874,3677,3254,3479,3292,2592,2414,1906,1738,1892,1802,1766,2574,3099,3567,3506,3526,3286,3593,4188,4594,4507,4108,
South Sudan,25,"","","","","","","","","","","","","","","","","","","","","","",651,1047,964,"",
Sudan,26,332,"",780,986,134,189,165,194,106,97.7,260,430,587,388,485,398,1241,1165,1537,"","","","","","","",
Swaziland,27,8.7,9.6,14.5,16,21,23.7,25.8,28.8,26.5,25.7,25.7,25.9,24.5,19.7,18.3,31.9,42.7,59.5,58.5,61.9,66.7,101,124,123,119,112,
Tanzania,,71,105,87.2,108,96.9,58.7,58.4,85.5,101,119,134,128,135,151,141,125,128,139,147,166,194,219,283,307,331,380,
