1,WalMart,us
2,Royal Dutch Shell,us
3,Sinopec Group,ch
4,China National Petroleum,ch
5,Exxon Mobil,us
6,British Petroleum,uk
7,State Grid,ch
8,Volkswagen,gm
9,Toyota,ja
10,Glencore,sz
11,Total,fr
12,Chevron,us
13,Samsung Electronics,ks
14,Berkshire Hathaway,us
15,Apple,us
16,AXA,fr
17,GazProm,rs
18,E.On,gm
19,Phillips66,us
20,Daimler,gm
21,General Motors,us
22,ENI,it
23,Japan Post Holdings,ja
24,Exor,it
25,Industrial & Commercial Bank of China,ch
26,Ford,us
27,General Electric,us
28,Petrobas,br
29,McKesson,us
30,Valero Energy,us
31,Allianz,gm
32,Hon Hai Precision Industry,tw
33,Société Générale,fr
34,AT&T,us
35,CVS,us
36,Pemex,mx
37,Fannie Mae,us
38,China Construction Bank,ch
39,United Health Group,us
40,BNP Paribas,fr
41,PDVSA,ve
42,Verizon,us
43,Lukoil,rs
44,GDF Suez,fr
45,Honda,ja
46,Rosneft Oil,rs
47,Agricultural Bank of China,ch
48,Assicurazioni Generali,it
49,ING Group,nl
50,Hewlett Packard,us
