State,Active military,Reserve military,Paramilitary,TotalTotal per 1000 capita,Active per 1000 capita
Afghanistan,170700,0,136100,306800,9.9,5.5
Albania,14245,0,500,14745,4.1,3.9
Algeria,130000,150000,187200,467200,13.7,3.8
Angola,107000,0,10000,117000,9.1,8.4
Barbuda,170,75,0,245,2.9,2
Argentina,73100,0,31240,104340,2.6,1.8
Armenia,48834,210000,6964,265798,89.6,16.5
Australia,56552,20440,0,76992,3.6,2.7
Austria,25758,187886,0,213644,26,3.1
Azerbaijan,66940,300000,15000,381940,46.4,8.1
Bahamas,860,0,0,860,2.8,2.8
Bahrain,8200,0,11260,19460,26.7,11.3
Bangladesh,157053,0,63900,220953,1.4,1
Barbados,610,430,0,1040,3.7,2.1
Belarus,72940,289500,110000,472440,49,7.6
Belgium,34336,1400,0,35736,3.4,3.3
Belize,1050,700,0,1750,5.7,3.4
Benin,4750,0,2500,7250,0.8,0.5
Bolivia,46100,0,37100,83200,8.5,4.7
Herzegovina,9656,0,0,9656,2.1,2.1
Botswana,9000,0,1500,10500,5.3,4.5
Brazil,318480,1340000,395000,2053480,10.3,1.6
Brunei,7000,700,2250,9950,25.6,18
Bulgaria,31315,303000,34000,368315,51.1,4.3
Burkina Faso,11200,0,250,11450,0.7,0.7
Burma,406000,0,107250,513250,10.7,8.4
Burundi,20000,0,31050,51050,5.4,2.1
Cambodia,124300,0,67000,191300,13.2,8.6
Cameroon,14100,0,9000,23100,1.2,0.7
Canada,65700,33950,4500,104150,3.1,2
Cape Verde,1200,0,0,1200,2.8,2.8
Central African Republic,2150,0,1000,3150,0.7,0.5
Chad,25350,0,9500,34850,3.4,2.5
Chile,59059,40000,44712,143771,8.7,3.6
China,2285000,510000,1132000,3927000,2.9,1.7
Colombia,449415,790000,144097,1383512,29.2,9.5
Costa Rica,0,0,9800,9800,2.3,0
Croatia,18600,21000,3000,42600,9.5,4.1
Cuba,49000,39000,1146500,1234500,107.8,4.3
